Warehouse,Item Code,Description,Pack Size,Brand,On-Hand Available,Average Unit Cost.1,Notes,Case_Weight_Lbs,Category
A R T,79000,"FARM CUT FRIES, 3/8"" X 13/16"" S/O",6/5 LB,MCCRUM,241.0,0.6087,https://specff.psce.pw/7sf4gc,30.0,Other
A R T,00652A,FC BACON TOPPING,2/5 LB,BROOKFIELD,3289.0,2.1275,https://specff.psce.pw/7slaym,10.0,Pork
A R T,02396,HAM STEAK HONEY BULK FRZ CW,12/1.5LB,BUTHERWAGON,347.0,0.491,,18.0,Pork
A R T,02690,HAM STEAK TRADITIONAL BULK FRZ CW,12/1.5LB,CLEMENS,96.0,0.5125,,18.0,Pork
A R T,06232,TIRAMISU LAYER CAKE,2/174OZ TR,THE ORIGINAL CAKERIE,206.0,0.0,https://specff.psee.io/82gutr,21.75,Other
A R T,1027612,5 LAYER LEMON CURD CAKE,2/6.88 LB,THE ORIGINAL CAKERIE,126.0,0.0,https://specff.psce.pw/7sf5ba,13.76,Other
A R T,1172-12,TURKEY WHOLE 12/14 FRZ CW,4/1PC,TURKEY VALLEY FARMS,163.0,1.85,https://specff.psce.pw/89vl2d,,Turkey
A R T,130005,RTC BRD CHICKEN TENDERS,2/5 LB,OK FOODS,1429.0,1.35,https://specff.psee.io/85mj78,10.0,Chicken
A R T,13686,CHICKEN WHOLE WOGS BAGGED FRZ CW,10-12/HD,TYSON,601.0,0.8715,https://specff.psce.pw/8by5ee,,Chicken
A R T,142812K,TURKEY WHOLE 10/14 FRZ CW,4/1PC,JENNIE-O,65.0,1.85,https://specff.psce.pw/89vkzy,,Turkey
A R T,18766,ROAST BEEF DELI SLICED FRZ CW,10LB,DAN'S PRIZE,97.0,2.9479,https://specff.psce.pw/8by66q,10.0,Beef
A R T,19228,FC DICED CANADIAN BACON,2/5 LB,BURKE,124.0,1.1807,https://specff.psce.pw/8j85sh,10.0,Pork
A R T,20239,IQF CHICKEN BREAST PIECES,8-5 LB,BRAKEBUSH,715.0,1.41,https://specff.psce.pw/7ygm3s,,Chicken
A R T,20427,BEEF TOP ROUND C/O MED FRZ CW,2/8 LB,BLOCK AND BARREL,4.0,2.1259,https://specff.psce.pw/8j85qk,16.0,Beef
A R T,22203,RTC BRD COCONUT CHICKEN TENDERS,4/2.5 LB,BELL & EVANS,1671.0,1.05,https://specff.psce.pw/8k4kuv,10.0,Chicken
A R T,22377,RTC BRD CHICKEN DRUMS,2/5 LB,BELL & EVANS,843.0,0.76,https://specff.psce.pw/8k4ldg,10.0,Chicken
A R T,22655KF,TURKEY WHOLE 16/20 FRZ CW,2/PC,BUTTERBALL,304.0,1.55,https://specff.psce.pw/8aacqk,,Turkey
A R T,2456,RTC BRD CHICKEN BREAST STRIP FRTR,6/5LB BAGS,SANDERSON,1115.0,1.2467,https://specff.psce.pw/8by5aj,30.0,Chicken
A R T,26077,PORK CHOP SEASONED E & P FRZ,10 LB,HORMEL,1950.0,0.5752,https://specff.psce.pw/8j85pc,10.0,Pork
A R T,29784,RTC CHICKEN TENDERS,20 LB,CHEF QUIK,1969.0,0.8019,https://specff.psee.io/835r8p,20.0,Chicken
A R T,305057,FRIES SHOE STRING 1/4 RTL 20Z FRZ,12/20 OZ,LYNDED FARMS,1943.0,0.5218,https://specff.psce.pw/7sf9dh,15.0,Other
A R T,4210,TURKEY DRUMS SMOKED RTL FRZ CW,12/TRAY,STAHL MEYER,303.0,0.6344,,,Turkey
A R T,4211,TURKEY DRUMS SLICED RTL FRZ SMK CW,12/TRAYS,STAHL MEYER,471.0,0.6427,,,Turkey
A R T,4230,TURKEY WING SMOKED RTL FRZ CW,12/ TRAYS,STAHL MEYER,320.0,0.6734,,,Turkey
A R T,502001,TURKEY GROUND 93/7 RTL FRZ,12/1LB,JENNIE-O,80.0,0.0,https://specff.psce.pw/8dp5cw,12.0,Turkey
A R T,5028403,FC GRILLED CHICKEN STRIPS,4/5 LB,CARDINAL FOODS,2324.0,1.58,https://specff.psce.pw/89pemb,20.0,Chicken
A R T,52461,CHICKEN WOG TRAD DELI NAE,10Head/cs,TYSON,1007.0,0.5412,https://specff.psce.pw/7xxlhb,,Chicken
A R T,52781,CHICKEN TOPPING ROASTED FC FRZ,2/5 LB,HORMEL,1091.0,1.1807,https://specff.psce.pw/8j85mk,10.0,Chicken
A R T,5296449,FC SHREDDED CHICKEN,40 LB,CTI,433.0,1.6994,https://specff.psce.pw/8fmyxq,40.0,Chicken
A R T,5453,"FC HALAL DICED DARK MEAT, BIRYANI",30 LB,PACKER,450.0,0.6,https://specff.psce.pw/8b3jxs,30.0,Other
A R T,600062,TURKEY BURGERS 93/7 RTL FRZ,8/1LB,JENNIE-O,198.0,0.0,https://specff.psce.pw/8cxav3,8.0,Turkey
A R T,61535,POLLOCK BATTERED 3LB RTL FRZ,10/3LB,FLEETWOOD,1289.0,1.446,https://specff.psce.pw/8cxbl6,30.0,Seafood
A R T,63403,CHICKEN THIGH B GRADE BULK,40 LB BULK,CASE FARMS,500.0,0.4012,https://specff.psce.pw/7v5pg4,40.0,Chicken
A R T,78101,RTC SPICY CHICKEN NUGGETS - RETAIL,2/5 LB,FLEETWOOD,253.0,1.1722,https://specff.psce.pw/7sl6nn,10.0,Chicken
A R T,80490,IF ECONOMY WING SECTIONS,8-5 LB,FLEETWOOD,497.0,1.1569,https://specff.psce.pw/7sl6qc,,Chicken
A R T,812,"UNCKD, ICED GLZD CHCKN WNG SCTN CW",16 BAGS,SMOKEY D,1359.0,1.1439,https://specff.psce.pw/88xq6w,,Other
A R T,8195,BACON LO AW FRZ,15 LB,HATFIELD,273.0,2.2458,https://specff.psce.pw/8j86ra,15.0,Pork
A R T,82730,BEEF BURGER PATTIE 75% 4Z HALAL FRZ,6/32/4OZ,AMERICAN FOODS GROUP,125.0,2.1653,https://specff.psce.pw/84xqrb,,Beef
A R T,82825,BEEF BURGER 75% 5.3OZ FRZ,45/5.3OZ,AMERICAN FOODS GROUP,68.0,2.1584,https://mfspec.pse.is/86gt64,14.90625,Beef
A R T,846902,TURKEY DELI NC TEND BROWN FRZ,2/8 LB,JENNIE-O,10.0,1.1884,https://specff.psce.pw/8j8598,16.0,Turkey
A R T,85080,BEEF STEAK UTL STRIP TNDRZ 8OZ FRZ,20/8OZ,CITY KITCHEN,477.0,5.3007,https://mfspec.psce.pw/87cn32,10.0,Beef
A R T,87427,FC BRD CHICKEN TENDERS,5/5 LB,KOCH,1472.0,1.3766,https://specff.psce.pw/8k4l54,25.0,Chicken
A R T,88401,FC GRILLED CHICKEN BREAST STRIPS,2/5 LB,KOCH,3067.0,1.0799,https://specff.psce.pw/835hcw,10.0,Chicken
A R T,93680,FC CHICKEN FRIES RETAIL,12-2 LB,ERIE,206.0,1.76,https://specff.psce.pw/8grtwp,,Chicken
A R T,93681,FC FORMED POPCORN CHICKEN RETAIL,12-2 LB,ERIE,240.0,1.76,https://specff.psce.pw/8k4l6d,,Chicken
A R T,93682,"FC CHICKEN PATTIES, 4 OZ",2/5 LB,ERIE,419.0,1.49,https://specff.psee.io/83xewa,10.0,Chicken
A R T,93683,FC CHICKEN NUGGETS RETAIL,12-2 LB,ERIE,240.0,1.76,https://specff.psce.pw/8grufy,,Chicken
A R T,93684,FC CHICKEN PATTIES RETAIL,12-2 LB,ERIE,146.0,1.76,https://specff.psce.pw/8k4mxm,,Chicken
A R T,93685,FC FORMED CHICKEN STRIPS RETAIL,12-2 LB,ERIE,239.0,1.7659,https://specff.psce.pw/8k4ms5,,Chicken
A R T,9741,PORK SAUSAGE MILD RTL FRZ,12/1LB,GWALTNEY,449.0,0.8345,,12.0,Pork
A R T,GB8726,FC ROASTED CHICKEN WING SECTIONS,2/5 LB,GOLDEN BIRD,554.0,1.5384,https://specff.psce.pw/835kpf,10.0,Chicken
A R T,R0911,FC BRD BREAST STRIPS,2/5 LB,JESSIE JEWELL,268.0,1.0889,https://specff.psce.pw/7tmhny,10.0,Chicken
A R T,R4212,FC BREADED TENDERS,2/5LB,JESSIE JEWELL,123.0,1.0962,https://specff.psce.pw/7slk35,10.0,Chicken
A R T,R4501,FC BRD CHICKEN STRIPS,2/5 LB,JESSIE JEWELL,202.0,1.0889,https://specff.psce.pw/7tmltm,10.0,Chicken
A R T,R791895,FC ROASTED DRUMS,2/5 LB,JESSIE JEWELL,337.0,1.0289,https://specff.psce.pw/8k4la8,10.0,Beef
A R T,R792441,FC BREADED WM STRIPS 32-48 GRAM,2/5LB,JESSIE JEWELL,1322.0,1.0956,https://specff.psce.pw/7ygma8,10.0,Other
