Warehouse,Item Code,Description,Item Type,Mster Uom,Pack Size,Brand,Latest Expiration Date,Inv. Total,Delivered Unbilled,On-Hand,On-Hand Committed,On-Hand Unallocated,On-Hand Available,Total Inv. Cost,Average Unit Cost,Weight Uom,Inv. Total.1,Delivered Unbilled.1,On-Hand.1,On-Hand Committed.1,On-Hand Unallocated.1,On-Hand Available.1,Total Inv. Cost.1,Average Unit Cost.1,Notes,Case_Weight,Category,WH_Code,SE_LandedLb,SE_CasePrice,NE_LandedLb,NE_CasePrice,TX_LandedLb,TX_CasePrice
A R T,79000,"FARM CUT FRIES, 3/8"" X 13/16"" S/O",6G,CS,6/5 LB,MCCRUM,  /  /         ,241.0,0.0,241.0,0.0,0.0,241.0,4401.12,18.2619,LB,7230.0,0.0,7230.0,0.0,0.0,7230.0,4401.12,0.6087,https://specff.psce.pw/7sf4gc,30.0,Other,A_R_T,1.5305349999999998,45.91604999999999,1.402425,42.07275,1.7563949999999997,52.69184999999999
A R T,00652A,FC BACON TOPPING,6D,CS,2/5 LB,BROOKFIELD,  /  /         ,3575.0,0.0,3575.0,0.0,286.0,3289.0,76057.41,21.2748,LB,35750.0,0.0,35750.0,0.0,2860.0,32890.0,76057.41,2.1275,https://specff.psce.pw/7slaym,10.0,Pork,A_R_T,3.2771549999999996,32.77155,3.1490449999999996,31.490449999999996,3.5030149999999995,35.03014999999999
A R T,02396,HAM STEAK HONEY BULK FRZ CW,6D,CS,12/1.5LB,BUTHERWAGON,  /  /         ,347.0,0.0,347.0,0.0,0.0,347.0,3520.43,0.0,LB,7169.92,0.0,7169.92,0.0,0.0,7169.92,3520.43,0.491,,18.0,Pork,A_R_T,1.3951799999999999,25.113239999999998,1.2670699999999997,22.807259999999996,1.6210399999999998,29.17872
A R T,02690,HAM STEAK TRADITIONAL BULK FRZ CW,6D,CS,12/1.5LB,CLEMENS,  /  /         ,96.0,0.0,96.0,0.0,0.0,96.0,992.58,0.0,LB,1936.74,0.0,1936.74,0.0,0.0,1936.74,992.58,0.5125,,18.0,Pork,A_R_T,1.4199049999999998,25.558289999999996,1.2917949999999998,23.252309999999998,1.6457649999999997,29.623769999999993
A R T,06232,TIRAMISU LAYER CAKE,6H,CS,2/174OZ TR,THE ORIGINAL CAKERIE,  /  /         ,318.0,0.0,318.0,0.0,112.0,206.0,2355.74,7.408,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://specff.psee.io/82gutr,21.75,Other,A_R_T,,26.583227499999996,,23.796835,,31.495682499999997
A R T,1027612,5 LAYER LEMON CURD CAKE,6H,CS,2/6.88 LB,THE ORIGINAL CAKERIE,  /  /         ,126.0,0.0,126.0,0.0,0.0,126.0,1437.85,11.4115,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://specff.psce.pw/7sf5ba,13.76,Other,A_R_T,,24.5513178,,22.788524199999998,,27.659151399999995
A R T,1172-12,TURKEY WHOLE 12/14 FRZ CW,6B,CS,4/1PC,TURKEY VALLEY FARMS,  /  /         ,163.0,0.0,163.0,0.0,0.0,163.0,16097.78,0.0,LB,8701.5,0.0,8701.5,0.0,0.0,8701.5,16097.78,1.85,https://specff.psce.pw/89vl2d,,Turkey,A_R_T,2.95803,,2.8299199999999995,,3.18389,
A R T,130005,RTC BRD CHICKEN TENDERS,6A,CS,2/5 LB,OK FOODS,  /  /         ,1429.0,0.0,1429.0,0.0,0.0,1429.0,19291.5,13.5,LB,14290.0,0.0,14290.0,0.0,0.0,14290.0,19291.5,1.35,https://specff.psee.io/85mj78,10.0,Chicken,A_R_T,2.3830299999999998,23.830299999999998,2.25492,22.5492,2.60889,26.088900000000002
A R T,13686,CHICKEN WHOLE WOGS BAGGED FRZ CW,9A,CS,10-12/HD,TYSON,  /  /         ,601.0,0.0,601.0,0.0,0.0,601.0,26392.73,0.0,LB,30284.45,0.0,30284.45,0.0,0.0,30284.45,26392.73,0.8715,https://specff.psce.pw/8by5ee,,Chicken,A_R_T,1.832755,,1.7046449999999997,,2.058615,
A R T,142812K,TURKEY WHOLE 10/14 FRZ CW,6B,CS,4/1PC,JENNIE-O,  /  /         ,65.0,0.0,65.0,0.0,0.0,65.0,6008.87,0.0,LB,3248.04,0.0,3248.04,0.0,0.0,3248.04,6008.87,1.85,https://specff.psce.pw/89vkzy,,Turkey,A_R_T,2.95803,,2.8299199999999995,,3.18389,
